"Andrej Karpathy","Taught famous Stanford class on neural networks; director of AI at Testla"
"leaky abstraction","When an abstraction fails to hide some of the underlying implementation details"
"Conway's Law","any organization that designs a system will produce a design whose structure is a copy of the organization's communication structure."
"ReLU","max(0,x). Good default choice of activation fn for neural networks because overcomes vanishing gradient problem."
"distutils","Older Python system for building and installing Python and non-Python modules. Not generally used directly anymore."
"setup.py","File used to declare a Python package, either using distutils or setuputils. Enables 'pip install .'"
"pyarrow","Python library for Apache Arrow"
"Apache Arrow","Library for processing columnar data, supporting Parquet, Spark, NumPy, pandas. Uses custom in-memory format."
"deterministic builds","When build system consistently produces consistent dependency management."
"pipenev","Python development workflow tool that leverages Pipfile and Pipefile.lock"
"pip freeze","Pip command to get exact versions of all user-installed modules."
"diamond dependencies","A depends on B & C, both of which depend on D."
