"Cassandra","Distributed wide column NoSQL store developed at Facebook before becoming Apache project"
"Flask","Web microframework for Python"
"Dash","Python framework by Plotly for building analytical web applications"
"Dask","Python library for parallel computation"
"Docker Compose","Enables storing Docker commands in YAML config and running multiple containers"
"Hive","Apache distributed data warehouse supporting SQL syntax."
"Datadog","Aggregates production metadata like exceptions, query times, error logs, etc, and visualizes w/ alerts."
"gRPC","Google's open source RPC system. Uses Protocol Buffers."
"Interface Description Language (IDL)","Language used to specify API (e.g., OpenAPI)"
"Protocol Buffer","Google's method for serializing structured data using IDL and code generation. Supports many languages."
"Apache Avro","Hadoop RPC & data serialization framework"
"Airflow","Apache's framework to programmatically author, schedule, and monitor workflows as a DAG of tasks."
"Human-Optimized Config Object Notation (HOCON)","Human-friendly superset of JSON (e.g., comments)"
"Lightbend Config","Configuration library for JVM languages supporting HOCON"
"OpenBLAS","Open source implementation of processor-specific optimizations of linear algebra operations"
"Math Kernel Library (MKL)","Intel's implementation of math routines optimized for their processors."
"kibi (Ki)","2^10"
"mebi (Mi)","2^20"
"gibi (Gi)","2^30"
"tebi (Ti)","2^40"
"pebi (Pi)","2^50"
"Exbi (Ei)","2^60"
"unattended-upgrades","Ubuntu package that enables automatically install updated packages"
"AWS security group (SG)","Stateful firewalls applied to individual EC2 instances"
"Infrastructure, Container, Abstract services","Three types of services outlined by AWS Shared Responsibility Model"
"IAM roles","IAM entity (user, apps, services) granted set of permissions for making AWS service requests"
"VPC Network Access Control List (NACL)","Stateless firewall for controlling traffic in & out of subnet"
"EC2-Classic","Pre-VPC version of EC2 running in single, flat global network"
"VPC route table","Set of rules that determine where network traffic is directed"
"VPC Internet Gateway","Allows instances within a VPC to communicate with the internet (and vice versa)"
"Network Address Translation (NAT)","Remapping one IP address space to another."
"NAT Gateways","Placed in public subnet in order to enable instances within private subnet to initiate connections to internet (but not vice versa)"
"Pandas","Python library built on top of NumPy providing support to manipulate numerical tables and labeled arrays/time series"
"Panda DataFrame","Pandas class for manipulating numerical tables"
"Panda Series","Pandas class for manipulating labeled arrays and time series data"
"NumPy","Python library for scientific computing, providing support for high-performance multi-dimension arrays manipulation"
"NumPy ndarray","Numpy class for supporting for multi-dimension arrays"
"kubectl","Kubernetes CLI. Uses the Kubernetes API to interact with the cluster."
"Helm","Kubernetes package manager"
"Service mesh","Low-latency infrastructure layer designed to handle high volume of network-based interprocess communication via APIs"
"Istio","Open platform for managing traffic flow across microservices as an abstraction layer over cluster management platforms like Kubernetes"
"Kubernetes Pod","Smallest deployable units of computing that can be created and managed in Kubernetes. Runs on a Node."
"Martin Kleppmann", "Author of Designing Data-Intensive Applications"
"Sam Newman","Author of Building Microservices"
"Site Reliability Engineering","How Google Runs Production Systems"
"minikube","local Kubernetes cluster intended for application development"
"Master, Nodes","A Kubernetes cluster is made up of a __ and __s"
"Kubelet","An agent for managing the node and communicating with the Kubernetes master"
"rkt","A security-minded, standards-based container engine by Core OS"
"spark-submit","Used to launch Spark applications on a cluster. E.g., would invoke this via CloudWatch trigger on ECS."
"Kafka","Apache project. Publish & subscribe to streams of records. Used to move data between systems as well as transform or react to streams of data. APIs: Producer, Consumer, Streams, Connector."
"Kafka topic","In Kafka, a stream of messages of a particular type."
"Kafka brokers","In Kafka, the set of servers where published messages are stored."
"Kafka partitions","In Kafka, used to balance load for a topic. This is the level of parallelism."
"file system page cache","Cache of pages from a disk in unused portion of RAM."
"double buffering","When something is buffered redundantly at different levels."
"warm cache","When something is already loaded in cache prior to being requested."
"sendfile API","In Linux and Unix, API used to directly transfer bytes from a file channel to a socket channel, avoiding application buffer and kernel buffer."
"Kafka consumer groups","In Kafka, when one or more consumers jointly consume a set of subscribed topics, and each message is delivered to only one of the consumers."
"leaky abstraction","When an abstraction fails to hide some of the underlying implementation details"
"Conway's Law","any organization that designs a system will produce a design whose structure is a copy of the organization's communication structure."
"distutils","Older Python system for building and installing Python and non-Python modules. Not generally used directly anymore."
"setup.py","File used to declare a Python package, either using distutils or setuputils. Enables 'pip install .'"
"pyarrow","Python library for Apache Arrow"
"Apache Arrow","Library for processing columnar data, supporting Parquet, Spark, NumPy, pandas. Uses custom in-memory format."
"deterministic builds","When build system consistently produces consistent dependency management."
"pipenv","Python development workflow tool that leverages Pipfile and Pipefile.lock"
"pip freeze","Pip command to get exact versions of all user-installed modules."
"diamond dependencies","A depends on B & C, both of which depend on D."
"asyncio","Python library for async/await syntax."
"Istio","Open source mesh that works with k8s, for distributed microservices architectures. Includes telemetry, tracing, traffic management."
"default namespace (k8s)","The namespace used by default in Kubernetes."
"context (k8s)","Enables you to set a default namespace, along with other settings. Stored in ~/.kube/config"
"kubectl get pods -o yaml","Kubectl command to get list of all pods in YAML format."
"kubectl get pods my-pod -o jsonpath --tempate={.status.podIP}","Kubectl command to get the .status.podIP jsonpath for pod my-pod"
"kubectl apply -f obj.yaml","Kubectl command to create or update a resource from manifest obj.yaml"
"kubectl logs my-pod -f","Kubectl command to stream the logs for pod my-pod"
