"leaky abstraction","When an abstraction fails to hide some of the underlying implementation details"
"Conway's Law","any organization that designs a system will produce a design whose structure is a copy of the organization's communication structure."
"distutils","Older Python system for building and installing Python and non-Python modules. Not generally used directly anymore."
"setup.py","File used to declare a Python package, either using distutils or setuputils. Enables 'pip install .'"
"pyarrow","Python library for Apache Arrow"
"Apache Arrow","Library for processing columnar data, supporting Parquet, Spark, NumPy, pandas. Uses custom in-memory format."
"deterministic builds","When build system consistently produces consistent dependency management."
"pipenv","Python development workflow tool that leverages Pipfile and Pipefile.lock"
"pip freeze","Pip command to get exact versions of all user-installed modules."
"diamond dependencies","A depends on B & C, both of which depend on D."
"asyncio","Python library for async/await syntax."
"Istio","Open source mesh that works with k8s, for distributed microservices architectures. Includes telemetry, tracing, traffic management."
"default namespace (k8s)","The namespace used by default in Kubernetes."
"context (k8s)","Enables you to set a default namespace, along with other settings. Stored in ~/.kube/config"
"kubectl get pods -o yaml","Kubectl command to get list of all pods in YAML format."
"kubectl get pods my-pod -o jsonpath --tempate={.status.podIP}","Kubectl command to get the .status.podIP jsonpath for pod my-pod"
"kubectl apply -f obj.yaml","Kubectl command to create or update a resource from manifest obj.yaml"
"kubectl logs my-pod -f","Kubectl command to stream the logs for pod my-pod"
"kubectl exec -it my-pod -- bash","Kubectl command to run bash in pod my-pod"
"kubectl cp my-pod:/app/foo.txt ./foo.txt","Kubectl command to copy /app/foo.txt from pod my-pod to ./foo.txt"
"kubectl port-forward my-pod 8080:80","Kubectl command to map the port 8080 inside my-pod to external-facing port 80"
"trust policies (IAM)","Describe which principals or AWS services are allow to assume an IAM role."
"permission policies (IAM)","When attached to an IAM role, this grants access to specific actions on specific resources or services."
"roles (IAM)","An IAM entity assumed by trusted entities (person or application) that grants access to services or resources (as defined by associated policies)."
"principal entity (IAM)","A person or application (via user or role) that is authenticated using an IAM entity"
"Helm","Kubernetes package manager"
"Chart (Helm)","Name for a Helm package. Combines k8s resources and values."
"Release (Helm)","Instance of a Helm chart running in a k8s cluster."
"Helm Hub","central Helm registry of community chart repos."
"Manifest (k8s)","Declarative definitions of Kubernetes resources (e.g., Pods), usually version controlled."
"Kubelet (k8s)","Daemon process running on Kubernetes node that monitors Pod health."
"Liveness vs readiness checks (k8s)","____ determines whether a k8s pod is still functioning properly, whereas ____ determines whether a k8s pod is available yet."
"emptyDir volume (k8s)","Temporary volume scope to k8s Pods' lifespan. Survives container restarts."
"docker pull docker/whalesay","Command to download the docker/whalesay image"
"docker run docker/whalesay cowsay 'hello world'","Command to run cowsay 'hello world' in docker/whalesay container"
"docker build -t foo .","Command to build a docker image from current directory with name/tag foo"
"docker tag <source-name>[:<source-tag>] <repo>/path/<dest-name>[:<dest-tag>]","Docker command to create a tagged target image from a source image"
"docker push <repo> <name>:<tag>","Command to push Docker to a repository"
"3 steps to upload Docker image to repo","1) docker login <repo>; 2) docker tag ...; 3) docker push ..."
"Minikube","lightweight k8s implementation running on a single-node cluster inside VM on personal computer"
"Pod (k8s)","A set of 1+ k8s containers running on a single node."
"Deployment (k8s)","This is used to deploy a k8s ReplicaSet"
"ReplicaSet (k8s)","Defines a set of k8s pods, with given number of replicas"
"Service (k8s)","Exposes a set of k8s Pods (using a label selector) as a network service"
"NodePort (k8s)","Most basic type of K8s service that exposes service outside cluster"
"LoadBalancer (k8s)","Type of K8s service that creates a load balancer with public IP"
"clusterIP (k8s)","Special, stable virtual IP that K8s is able to load balance."
"ssh <ip> -L 8080:localhost:80","Command to create SSH tunnel to remote site so can access <ip>:8080 at localhost:80"
"kubelet","process running on k8s node for communicating with master node"
"network address translation (NAT)","method of remapping IP address space into another by modifying network address info in IP header of packets in transit"
"IP masquerading","Application of NAT to hide entire IP address space behind single IP address. Used to conserve IPv4 addresses."
"port forwarding","Application of NAT to redirect communication from one address & port to another."
"snowflake server","server that's manually managed, resulting in unique configurations and often difficult to manage"
"sidecar","container executing concurrently in same pod as another container"
"optimistic locking","check whether resource was updated by someone else prior to updating"
"pessimistic locking","access exclusive lock right before updating"
"Linux control groups (cgroups)","Linux kernel feature to limit & isolate resource usage for a collection of processes"
"overlay filesystem","series of filesystem layers, where each subsequent layer adds, removes, modifies files"
"multistage builds (docker)","Instead of building a single Docker image, builds several separate images. Used to avoid bloating the final image."
